,Symbol,ExpiryDate,OptionType,StrikePrice,Timestamp,Last,LastSize,TotalVolume,Bid,Ask,TickId,BasisForLast,TradeMarketCenter,TradeConditions
0,ABBV,29NOV19,PUT,81.0,12:13:06.366,1.72,1,1,1.66,1.76,41913977,C,13,45
1,ABBV,29NOV19,PUT,81.0,13:13:06.366,1.55,2,3,1.55,1.59,62384783,C,156,1
2,ABBV,29NOV19,PUT,81.0,14:13:06.366,1.55,2,5,1.5,1.55,63161255,C,17,20
0,ABC,01NOV19,CALL,86.0,13:37:27.483,0.54,1,1,0.1,1.0,3058525,C,13,45
1,ABC,01NOV19,CALL,86.0,14:37:27.483,0.54,1,2,0.1,1.0,3058525,O,13,45
2,ABC,01NOV19,CALL,86.0,15:37:27.483,0.8,29,31,0.4,0.85,77148452,C,17,27
